건축구분,대지위치,지목,대지면적,건축면적,연면적,허가일,착공처리일,공사종료일,주용도,데이터기준일자
신축,서울특별시 성북구 안암동4가 41-12,대,299.8,178.9,560.34,2021-10-29,2022-01-12,,공동주택,2022-10-18
신축,서울특별시 성북구 삼선동5가 43-13,대,361,216,623.37,2021-11-29,2022-02-09,,공동주택,2022-10-18
신축,서울특별시 성북구 정릉동 693-14,대,172,102.68,316.74,2022-02-23,2021-06-23,,단독주택,2022-10-18
신축,서울특별시 성북구 종암동 79-284,대,138.1,82.66,232.1,2022-02-23,2022-03-31,,단독주택,2022-10-18
신축,서울특별시 성북구 정릉동 692-16,대,254,145.68,507.82,2020-11-17,2021-01-28,,공동주택,2022-10-18
신축,서울특별시 성북구 성북동 330-94 외2필지/492 같은필지,대,989,295.74,951.62,2020-06-01,2020-07-20,,단독주택,2022-10-18
신축,서울특별시 성북구 성북동 330-492/-94 같은필지,대,618,185.22,663.48,2020-06-01,2020-07-20,,단독주택,2022-10-18
신축,서울특별시 성북구 정릉동 266-498,대,354.24,212.46,854.55,2021-07-09,2021-10-15,,공동주택,2022-10-18
신축,서울특별시 성북구 정릉동 414-7,대,183.75,103.57,488.64,2021-07-19,2021-10-25,,공동주택,2022-10-18
신축,서울특별시 성북구 정릉동 164-31,대,450,254.59,1503.24,2021-08-09,2021-12-10,,업무시설,2022-10-18
신축,서울특별시 성북구 정릉동 383-23(113이랑 같은 필지),대,919.09,469.1,1896.48,2021-10-06,2021-10-21,,공동주택,2022-10-18
신축,서울특별시 성북구 길음동 488-1,대,279,167.25,574.74,2021-07-05,2021-12-24,,공동주택,2022-10-18
신축,서울특별시 성북구 보문동4가 107,대,84.3,48.58,128.71,2021-07-05,2021-12-03,,제1종근린생활시설,2022-10-18
신축,서울특별시 성북구 동소문동7가 2-2 외2필지,대,165.73,99.09,316.75,2020-05-04,2022-05-17,,단독주택,2022-10-18
신축,서울특별시 성북구 성북동 168-276 외1필지,대,3185.2,950.27,9820.18,2020-12-24,2022-05-25,,공동주택,2022-10-18
